text,category
I want to get Visa and Mastercard,visa_or_mastercard
Why is identity verification required?,why_verify_identity
I tried using my ATM card at your Notting Hill location today.  It did not work.  Am I doing something wrong?,declined_cash_withdrawal
What do I do with my card PIN?,get_physical_card
I can't find the top-up verification code.,verify_top_up
Is there an extra fee to exchange currencies?,exchange_charge
"So, I am a new customer and attempted to top up for the very first time today. It's already been pending for half an hour and doesn't seem to be working. I need to please get this fixed.",pending_top_up
It looks like the exchange rates on my card payment are wrong,card_payment_wrong_exchange_rate
What age can sign up for services?,age_limit
How do I go about cancelling a transaction?,cancel_transfer
How much do I need to pay for a transfer?,top_up_by_bank_transfer_charge
I have a payment which has not been approved.,pending_card_payment
Is Apple Pay a possible top up option?,apple_pay_or_google_pay
Are there ways to transfer money into my account?,transfer_into_account
Is there such thing as top up by cheque?,top_up_by_cash_or_cheque
My top-up was declined,top_up_failed
I got a fee for an ATM withdrawal.,cash_withdrawal_charge
Why did using an ATM cause me to be charged an additional fee?,cash_withdrawal_charge
I just got $20 when I tried to get $100,wrong_amount_of_cash_received
is there a way to do top up with cash deposit,top_up_by_cash_or_cheque
I made a card payment by my card but it failed. Please let me know when the payment will get completed as its still pending.,pending_card_payment
Why was I charged multiple times for the same thing?,transaction_charged_twice
Can you tell me where my funds come from?,verify_source_of_funds
My card was not accepted.,declined_card_payment
Can I choose whether I receive a Visa or a Mastercard card?,visa_or_mastercard
The day before yesterday I transferred funds to another account within the country.  The funds have not yet arrived.  I double and triple checked the account number and it was correct.  Why hasn't the transfer been completed yet?,transfer_not_received_by_recipient
"My payment was put back, I think.",reverted_card_payment?
I need to update my address.,edit_personal_details
I would like my card activated.,activate_my_card
What happens if the ATM doesn't give the right amount of money?,wrong_amount_of_cash_received
May I get an account for my daughter?,age_limit
has my card payment been reverted?,reverted_card_payment?
"I was trying to use my card and it was declined, when I tried to find out what happened I found cash withdraw for $500 that I didn't do.  Can you please help figure this out?",cash_withdrawal_not_recognised
The exchange rate for case abroad is applied wrong.,wrong_exchange_rate_for_cash_withdrawal
Can I have a card even if I am not living in the UK?,country_support
How do I update my current residence details?,edit_personal_details
Where can I pay with my debit or credit card?,card_acceptance
How long do I wait for my PIN,get_physical_card
I would like to know what your exchange rates are.,exchange_rate
Please help!  There was an extra fee when I got cash.,cash_withdrawal_charge
Yesterday I had my phone stolen.  Please advise what I should do.,lost_or_stolen_phone
Who can have access to top up my account?,topping_up_by_card
Can you tell me why my card payment did not work?,declined_card_payment
"For some reason, I'm unable to transfer funds.",beneficiary_not_allowed
I had trouble with an incorrect rate being applied when using the ATM with foreign currency.,wrong_exchange_rate_for_cash_withdrawal
"If my PIN number is rejected, how do I solve it?",pin_blocked
How do I claim a refund?,request_refund
How come my card payment has been declined?,declined_card_payment
Why would there be a payment on my account I don't recognize?,card_payment_not_recognised
Can I get a refund on an item?,request_refund
How long does it take to recieve my new card?,card_arrival
"I tried to take out cash but the amount isn't right, so what do I do?",wrong_amount_of_cash_received
Are there any fees when exchanging to foreign currencies?,exchange_charge
Is the identity check part of bank policy?,why_verify_identity
My disposable virtual card will not work,virtual_card_not_working
"If I order a new card, how much will it be and how long will it take me to get it?",card_about_to_expire
Can you tell me why my top up didn't work?,top_up_failed
What is the dollar that I have pending on my statement there?,extra_charge_on_statement
Why couldn't I do a transfer to a beneficiary?,beneficiary_not_allowed
I want to make a currency exchange to EU.,fiat_currency_support
I'm trying to purchase crypto via the app. I haven't been able to get it to go through. Am I doing something wrong?,beneficiary_not_allowed
"I need to delete my account, please.",terminate_account
I would like to transfer funds from one account to another.,transfer_into_account
How can I get the cash deposit to show up on my account?,balance_not_updated_after_cheque_or_cash_deposit
Why can't I see the top-up amount I just added to my account?,topping_up_by_card
Do transfers from Europe take longer?,transfer_timing
The cash I tried to draw from the ATM was not approved.,declined_cash_withdrawal
I deposited a check but my balance is still the same.,balance_not_updated_after_cheque_or_cash_deposit
What is the charge for sending out more cards?,getting_spare_card
"I need to figure out what these charges are on my account. They've been coming out for a couple of days. Can i get all of this money back? Also, I need to freeze my card.",card_payment_not_recognised
There is a payment in the App that is not mine.,card_payment_not_recognised
Is the 1 pound charge I can see an error or an incorrect entry?,extra_charge_on_statement
Can I change my pin at an atm?,change_pin
"I live in the EU, can I get one of your cards?",country_support
Which country's currency do you support?,fiat_currency_support
Why isn't my cheque deposit showing on my account?  I though it would be faster and would like to to look into it and help.,balance_not_updated_after_cheque_or_cash_deposit
"I don't understand what a disposable virtual card is, can you help?",get_disposable_virtual_card
How do a reverse a duplicated charge?,transaction_charged_twice
My card hasn't arrived yet.,card_arrival
Hello. I checked my transactions and saw I was double charged on my card for a restaurant visit. I would like to get my money back.,transaction_charged_twice
Can you tell me how to get my card on the app?,card_linking
Can you please check my UK Account to make sure everything went alright?  I made the transfer a couple of hours ago.,balance_not_updated_after_bank_transfer
Is there a fee for sending out more than one card?,getting_spare_card
How do I receive a virtual card?,getting_virtual_card
"Can I change my pin at ATMs?  If so, what ones?",change_pin
How to order my card?,order_physical_card
"I'm not in the UK, is it possible for me to still get a card?",country_support
Why hasn't the transfer shown up in my account yet?,transfer_timing
"Can you let me know where my refund money is? I requested a refund a few days back, but it's not showing up yet.  Do you guys have the money yet? Maybe it's just not in my account.  Let me know when it will become available, please.",Refund_not_showing_up
Can I link an existing card?,card_linking
I got a strange fee when I used the ATM.,cash_withdrawal_charge
Help me unblock my account.  I entered the PIN wrong too many times.,pin_blocked
I made a transfer to my friend earlier and she hasn't received it yet.  What's the hold up?,transfer_not_received_by_recipient
There's an unauthorized cash withdraw,cash_withdrawal_not_recognised
Can I dispute a debit payment that I am seeing that I didn't make from a couple of months ago?,direct_debit_payment_not_recognised
"Do you charge for cash withdrawals?  I want to get my hands on my own money and you appear to be charging me for the pleasure! Why is this, you'd never get this with my high street bank!",cash_withdrawal_charge
I want to revert this mornings transaction.,cancel_transfer
Why are my payments showing pending?,pending_card_payment
Which cards are accepted for topping up?,supported_cards_and_currencies
The check I deposited yesterday isn't listed yet.  Isn't that pretty slow?  I need to see the balance increased by that check.,balance_not_updated_after_cheque_or_cash_deposit
What is the base amount for cross-currency exchanges?,exchange_charge
How do I change my address?,edit_personal_details
There are duplicate transactions on my account,transaction_charged_twice
I am confused why there is cash I did not accept in my account,cash_withdrawal_not_recognised
I want to transfer money from another account into this one.,transfer_into_account
Can you give me info about what to do when my card expires?,card_about_to_expire
Can I change from AUD to GBP?,exchange_via_app
I do not understand what this particular direct debit is ?,direct_debit_payment_not_recognised
are both visa and mastercard available to me?,visa_or_mastercard
Is there a limit to how high I can top-up?,top_up_limits
"I put my check in the bank, but I haven't gotten my cash yet?",balance_not_updated_after_cheque_or_cash_deposit
I didn't receive the amount of cash I requested for the ATM.,wrong_amount_of_cash_received
"Hello, i'd like to inform you of an issue i'm currently experiencing. The goods i have ordered from your website have still not arrived yet; it has been over 3 weeks. I would like to be issued a refund swiftly and be redirected to more competent people. Thank you for your assistance.",request_refund
"When getting my ID checked, what are the steps involved?",verify_my_identity
I topped up but it isn't in my account,pending_top_up
What may be the reason that my transfer did not go through?,failed_transfer
Can cards be delivered? Where?,order_physical_card
I have an unauthorized direct debit on my account,direct_debit_payment_not_recognised
I have a problem with my account. I tried to transfer some funds and the message came back declined. Can you help me?,declined_transfer
Are you Visa or Mastercard?,visa_or_mastercard
My card has been charged two separate times for a single transaction.,transaction_charged_twice
I am in the EU. Can I get one of your cards?,country_support
"If I was mugged and lost everything, how do I access my account and app?",lost_or_stolen_phone
the bank transfer was declined,declined_transfer
Why and I being charged this fee?,card_payment_fee_charged
"I tried using my card and it kept getting declined, Why?",declined_card_payment
"Please help me get a new card, I reside in the United States.",country_support
I requested money from the ATM and it didn't give me as much as I requested.,wrong_amount_of_cash_received
I was under the impression ATM cash withdrawals were free. Why was I suddenly charged for my most recent ATM transaction?,cash_withdrawal_charge
I don't appreciate the extra fees being siphoned from my account. I was helping some friends move to Japan and we were buying home decorations at the local stores. The  receipts differed greatly from what showed up in my bank account and my statement. When can I expect the extra fees to be back in my account?,transfer_fee_charged
Are there any fees for adding money with an international card?,top_up_by_card_charge
What is the extra fee that showed up on my card?,card_payment_fee_charged
Will you accept my salary if it's in another currency?,receiving_money
